img_file,category,box_top,box_left,box_height,box_width,img_width,img_height
10023.png,product_type,471,11,18,218,1280,1280
10023.png,company,533,10,27,147,1280,1280
10023.png,final_price,582,658,31,97,1280,1280
10037.png,product_type,181,28,17,357,1280,1280
10037.png,4_star,304,29,22,95,1280,1280
10037.png,product_image,377,168,514,378,1280,1280
10041.png,product_type,111,15,23,164,1280,1280
10041.png,product_title,150,628,34,280,1280,1280
10041.png,final_price,242,630,26,64,1280,1280
10059.png,product_type,176,22,29,369,1280,1280
10059.png,4_star,303,27,24,93,1280,1280
10059.png,product_image,383,168,508,375,1280,1280
10070.png,product_type,83,12,17,295,1280,1280
10070.png,product_title,110,323,90,589,1280,1280
10070.png,2_star,222,325,21,84,1280,1280
10127.png,product_image,249,139,335,266,1280,1280
10127.png,company,470,452,17,152,1280,1280
10137.png,product_type,7,4,25,542,1280,1280
10137.png,product_image,120,156,460,349,1280,1280
10137.png,company,326,982,42,110,1280,1280
10144.png,product_type,73,41,31,136,1280,1280
10144.png,5_star,135,646,19,89,1280,1280
10144.png,final_price,374,649,38,123,1280,1280
10168.png,product_title,175,55,37,625,1280,1280
10168.png,final_price,261,833,30,100,1280,1280
10231.png,product_image,244,55,324,583,1280,1280
10231.png,company,141,648,20,67,1280,1280
10232.png,product_type,79,10,26,363,1280,1280
10232.png,product_title,119,647,56,328,1280,1280
10232.png,4_star,193,651,19,83,1280,1280
10232.png,original_price,244,677,22,91,1280,1280
10323.png,product_type,272,12,24,512,1280,1280
10323.png,4_star,350,236,29,105,1280,1280
10323.png,final_price,453,676,41,119,1280,1280
10323.png,discount,471,796,22,158,1280,1280
10382.png,product_type,28,42,21,183,1280,1280
10382.png,product_title,128,688,29,187,1280,1280
10382.png,final_price,202,691,31,43,1280,1280
10437.png,product_title,52,0,55,1188,1280,1280
10437.png,5_star,108,8,17,85,1280,1280
10437.png,final_price,255,489,56,139,1280,1280
10447.png,product_type,78,9,27,351,1280,1280
10447.png,product_title,118,587,82,373,1280,1280
10447.png,final_price,253,586,21,108,1280,1280
10449.png,product_type,77,9,29,234,1280,1280
10449.png,product_title,117,483,31,418,1280,1280
10449.png,4_star,166,483,18,84,1280,1280
10476.png,product_type,26,36,24,156,1280,1280
10476.png,product_title,128,690,30,367,1280,1280
10476.png,final_price,202,692,31,40,1280,1280
10484.png,product_type,158,389,17,343,1280,1280
